formula,smiles_format,mol_wt,pubchem_status,pubchem_cid,iupac_name,structure,RotationalconstantA,RotationalconstantB,RotationalconstantC,Dipolemoment,HOMO,LUMO,EnergyGap,Zeropointenergy,Finalsinglepointenergy,Totalthermalenergy,TotalEnthalpy,Totalentropy,Gibbsfreeenergy
C8H7,[CH]1C=C[C]2[C@@H](C=C1)[CH]2,103.1426,0,,"(1R,7R)-bicyclo[5.1.0]octa-2,5-diene",HD0001_agg.xyz,0.110618,0.085054,0.050532,0.35749,-4.986214196562,-0.97609959312855,4.01011460343345,0.1183699,-308.515649767375,-308.39080308,-308.38985887,0.03830052,-308.42815939
C7H6,[C]C#C[C]1C[C@@H]1C,90.1238,0,,(2S)-2-methyl-1-prop-1-ynylcyclopropane,HD0002_agg.xyz,0.254151,0.044319,0.039516,6.91124,-6.60167249282535,-3.22354230717815,3.3781301856472,0.09903297,-269.767126095166,-269.66060062,-269.65965641,0.03986216,-269.69951858
C7H7,[CH2]C1=CC(=C)C=C1,91.1316,1,21721513.0,"2-methanidyl-5-methylidenecyclopenta-1,3-diene",HD0003_agg.xyz,0.223449,0.072852,0.05494,0.02942,-5.15337373492415,-1.4771972488243,3.67617648609985,0.11223562,-270.524292910068,-270.4059389,-270.40499469,0.03718228,-270.44217697
C6H6,CC1=C(C1)C#C,78.11280000000001,1,86017264.0,1-ethynyl-2-methylcyclopropene,HD0004_agg.xyz,0.289918,0.07199,0.058999,1.15393,-6.228686037945,-0.82153892604455,5.40714711190045,0.09378274,-231.792344586764,-231.69190803,-231.69096382,0.03765447,-231.72861829
C9H4,C#C[C]1[C][CH]C=C[C]=[C]1,112.1302,0,,"(6R)-6-ethynylcyclohepta-1,3-diene",HD0005_agg.xyz,0.145803,0.040101,0.033337,1.52699,-5.7613577110963,-2.47147404716625,3.28988366393005,0.08803461,-344.640262907528,-344.54472879,-344.54378458,0.04006457,-344.58384915
C4H6,C[C][CH][CH2],54.0908,1,7843.0,propane,HD0006_agg.xyz,0.665947,0.189995,0.157188,1.7192,-5.2607226489464,-2.31299494063505,2.94772770831135,0.08152488,-155.674908510341,-155.58840535,-155.58746114,0.03271039,-155.62017153
C8H4,C=C1c2c1c[c][c]c2,100.1192,1,14547935.0,"7-methylidenebicyclo[4.1.0]hepta-1(6),2,4-triene",HD0007_agg.xyz,0.18518,0.063128,0.047079,0.51585,-6.159024892217,-2.41645262659515,3.7425722656218494,0.08421128,-306.616307236303,-306.52594614,-306.52500193,0.03704044,-306.56204237
C10H4,[C]#C[C]1[C]=C=C[CH]C=C=C1,124.14119999999998,0,,"3-ethynylcycloocta-1,2,4,6-tetraene",HD0008_agg.xyz,0.126915,0.031357,0.025847,8.21536,-6.8867117512241,-3.788369026661,3.0983427245630994,0.09363294,-382.650244599007,-382.54824067,-382.54729646,0.04214497,-382.58944143
C6H5,C=C[CH]C1=C[C]1,77.105,1,53837890.0,1-prop-2-enylcyclopropene,HD0009_agg.xyz,0.638881,0.062527,0.057028,3.86244,-5.8832647161203,-0.6303245232982,5.2529401928221,0.08110688,-231.140756861094,-231.05329344,-231.05234924,0.03759851,-231.08994775
C7H2,C#C[C@]12[C@@H]3[C@]41[C@]23[C]4,86.0926,0,,"(1S,2R,3S,4S)-2-ethynyltetracyclo[2.1.0.01,3.02,4]pentane",HD0010_agg.xyz,0.453577,0.068089,0.067755,4.73812,-7.0338709215745,-2.5054066443236,4.528464277250899,0.05018661,-267.184072696206,-267.1277222,-267.12677799,0.03640747,-267.16318546
